,LOTAÇÃO EXERCÍCIO,REM_LIQUIDA,CATEGORIA
1069,Escritório de Apoio 1 do Senador Paulo Rocha,3265.33,CARGO EM COMISSÃO
1070,Gabinete do Senador Alessandro Vieira,3265.33,CARGO EM COMISSÃO
1071,Gabinete do Senador Alessandro Vieira,-325.4,CARGO EM COMISSÃO
1072,Gabinete do Senador Acir Gurgacz,3322.21,CARGO EM COMISSÃO
1073,Gabinete do Senador Izalci Lucas,3204.59,CARGO EM COMISSÃO
1074,Escritório de Apoio 1 do Senador Davi Alcolumbre,3322.21,CARGO EM COMISSÃO
1075,Escritório de Apoio 1 do Senador Otto Alencar,3265.33,CARGO EM COMISSÃO
1077,Escritório de Apoio do Senador Eduardo Braga,3293.77,CARGO EM COMISSÃO
1078,Escritório de Apoio da Senadora Kátia Abreu,3293.77,CARGO EM COMISSÃO
1079,Gabinete da Senadora Kátia Abreu,3293.77,CARGO EM COMISSÃO
1081,Gabinete do Senador Telmário Mota,3265.33,CARGO EM COMISSÃO
1082,Escritório de Apoio 1 do Senador Omar Aziz,3265.33,CARGO EM COMISSÃO
1086,Escritório de Apoio do Senador Fernando Collor,3265.33,CARGO EM COMISSÃO
1088,Escritório de Apoio da Senadora Kátia Abreu,3265.33,CARGO EM COMISSÃO
1089,Escritório de Apoio 1 do Senador Romário,3265.33,CARGO EM COMISSÃO
1090,Gabinete do Senador Alessandro Vieira,3293.77,CARGO EM COMISSÃO
1091,Escritório de Apoio Senadora Maria do Carmo Alves,3265.33,CARGO EM COMISSÃO
1096,Escritório de Apoio 1 do Senador Plínio Valério,3265.33,CARGO EM COMISSÃO
1097,Escritório de Apoio nº 1 do Senador Irajá,3265.33,CARGO EM COMISSÃO
1098,Escritório de Apoio 1 do Senador Jorge Kajuru,3265.33,CARGO EM COMISSÃO
1099,Escritório de Apoio 1 da Senadora Zenaide Maia,3265.33,CARGO EM COMISSÃO
1100,Escritório de Apoio 1 do Senador Chico Rodrigues,3265.33,CARGO EM COMISSÃO
1101,Escritório de Apoio 1 do Senador Chico Rodrigues,3265.33,CARGO EM COMISSÃO
1102,Escritório de Apoio 1 do Senador Rogério Carvalho,3265.33,CARGO EM COMISSÃO
1103,Escritório de Apoio 1 do Senador Plínio Valério,3265.33,CARGO EM COMISSÃO
1104,Escritório de Apoio 1 do Senador Plínio Valério,3293.77,CARGO EM COMISSÃO
1105,Escritório de Apoio 1 do Senador Plínio Valério,3265.33,CARGO EM COMISSÃO
1106,Gabinete do Senador Jarbas Vasconcelos,3265.33,CARGO EM COMISSÃO
1107,Escritório de Apoio 1 da Senadora Mara Gabrilli,3265.33,CARGO EM COMISSÃO
1108,Escritório de Apoio 1 da Senadora Mara Gabrilli,3265.33,CARGO EM COMISSÃO
1109,Escritório de Apoio 1 do Senador Plínio Valério,3265.33,CARGO EM COMISSÃO
1110,Escritório de Apoio do Senador Izalci Lucas,3265.33,CARGO EM COMISSÃO
1111,Gabinete do Senador Weverton Rocha,3265.33,CARGO EM COMISSÃO
1112,Escritório de Apoio 1 do Senador Esperidião Amin,3265.33,CARGO EM COMISSÃO
1113,Gabinete do Senador Jaques Wagner,3265.33,CARGO EM COMISSÃO
1114,Escritório de Apoio 1 do Senador Major Olimpio,3265.33,CARGO EM COMISSÃO
1115,Escritório de Apoio do Senador Izalci Lucas,3293.77,CARGO EM COMISSÃO
1116,Escritório de Apoio 1 do Senador Plínio Valério,3265.33,CARGO EM COMISSÃO
1117,Escritório de Apoio do Senador Fernando Collor,3265.33,CARGO EM COMISSÃO
1118,Gabinete do Senador Veneziano Vital do Rêgo,3293.77,CARGO EM COMISSÃO
1119,Escritório de Apoio 1 do Senador Rodrigo Cunha,3265.33,CARGO EM COMISSÃO
1120,Gabinete do Senador Vanderlan Cardoso,3265.33,CARGO EM COMISSÃO
1121,Gabinete do Senador Weverton Rocha,3424.15,CARGO EM COMISSÃO
1122,Escritório de Apoio 1 do Senador Chico Rodrigues,3265.33,CARGO EM COMISSÃO
1124,Escritório de Apoio do Senador Rodrigo Pacheco,3265.33,CARGO EM COMISSÃO
1125,Escritório de Apoio 1 do Senador Rodrigo Cunha,3293.77,CARGO EM COMISSÃO
1126,Escritório de Apoio 1 do Senador Alessandro Vieira,3265.33,CARGO EM COMISSÃO
1127,Escritório de Apoio 1 do Senador Mecias de Jesus,3265.33,CARGO EM COMISSÃO
1128,Escritório de Apoio 1 do Senador Angelo Coronel,3293.77,CARGO EM COMISSÃO
1131,Escritório de Apoio 1 da Senadora Leila Barros,3265.33,CARGO EM COMISSÃO
1132,Escritório de Apoio 1 da Senadora Leila Barros,3265.33,CARGO EM COMISSÃO
1133,Escritório de Apoio 1 da Senadora Leila Barros,3265.33,CARGO EM COMISSÃO
1135,Escritório de Apoio 1 do Senador Plínio Valério,3265.33,CARGO EM COMISSÃO
1136,Escritório de Apoio 1 da Senadora Leila Barros,3265.33,CARGO EM COMISSÃO
1137,Escritório de Apoio 1 da Senadora Leila Barros,3265.33,CARGO EM COMISSÃO
1139,Escritório de Apoio 1 da Senadora Leila Barros,3293.77,CARGO EM COMISSÃO
1140,Escritório de Apoio 1 da Senadora Leila Barros,3265.33,CARGO EM COMISSÃO
1141,Escritório de Apoio 1 do Senador Cid Gomes,3265.33,CARGO EM COMISSÃO
1142,Escritório de Apoio 1 do Senador Márcio Bittar,3265.33,CARGO EM COMISSÃO
1143,Escritório de Apoio 1 da Senadora Leila Barros,3265.33,CARGO EM COMISSÃO
1145,Escritório de Apoio 1 do Senador Jorge Kajuru,3265.33,CARGO EM COMISSÃO
1146,Escritório de Apoio 1 do Senador Lucas Barreto,3265.33,CARGO EM COMISSÃO
1147,Escritório de Apoio 1 do Senador Lucas Barreto,3293.77,CARGO EM COMISSÃO
1149,Escritório de Apoio 1 da Senadora Leila Barros,3265.33,CARGO EM COMISSÃO
1150,Escritório de Apoio 1 do Senador Lucas Barreto,3265.33,CARGO EM COMISSÃO
1151,Gabinete do Senador Marcelo Castro,2340.96,CARGO EM COMISSÃO
1152,Escritório de Apoio 1 do Senador Esperidião Amin,3265.33,CARGO EM COMISSÃO
1153,Gabinete do Senador Lucas Barreto,3265.33,CARGO EM COMISSÃO
1154,Escritório de Apoio 1 do Senador Carlos Viana,3265.33,CARGO EM COMISSÃO
1155,Gabinete do Senador Izalci Lucas,3322.21,CARGO EM COMISSÃO
1156,Escritório de Apoio da Senadora Kátia Abreu,3007.92,CARGO EM COMISSÃO
1157,Escritório de Apoio 1 do Senador Lucas Barreto,3265.33,CARGO EM COMISSÃO
1158,Gabinete do Senador Izalci Lucas,3265.33,CARGO EM COMISSÃO
1160,Escritório de Apoio 1 do Senador Nelsinho Trad,3350.65,CARGO EM COMISSÃO
1161,Escritório de Apoio 1 do Senador Zequinha Marinho,3265.33,CARGO EM COMISSÃO
1162,Escritório de Apoio 1 do Senador Zequinha Marinho,-262.58,CARGO EM COMISSÃO
1163,Gabinete do Senador Marcos Rogério,3265.33,CARGO EM COMISSÃO
1165,Escritório de Apoio 1 do Senador Esperidião Amin,3322.21,CARGO EM COMISSÃO
1168,Gabinete do Senador Eduardo Gomes,3293.77,CARGO EM COMISSÃO
1169,Gabinete do Senador Chico Rodrigues,3444.56,CARGO EM COMISSÃO
1170,Escritório de Apoio 1 do Senador Marcos Rogério,3265.33,CARGO EM COMISSÃO
1171,Escritório de Apoio 1 do Senador Marcelo de Castro,3265.33,CARGO EM COMISSÃO
1172,Escritório de Apoio nº 1 do Senador Eduardo Gomes,3265.33,CARGO EM COMISSÃO
1173,Gabinete do Senador Zequinha Marinho,3293.77,CARGO EM COMISSÃO
1174,Gabinete do Senador Lucas Barreto,3265.33,CARGO EM COMISSÃO
1176,Escritório de Apoio 1 do Senador Omar Aziz,3265.33,CARGO EM COMISSÃO
1177,Gabinete do Senador Esperidião Amin,3265.33,CARGO EM COMISSÃO
1180,Gabinete da Senadora Mailza Gomes,3265.33,CARGO EM COMISSÃO
1182,Escritório de Apoio 1 da Senadora Zenaide Maia,3293.77,CARGO EM COMISSÃO
1183,Gabinete do Senador Luiz Carlos do Carmo,3265.33,CARGO EM COMISSÃO
1185,Escritório de Apoio 1 do Senador Rogério Carvalho,3265.33,CARGO EM COMISSÃO
1186,Escritório de Apoio do Senador Ciro Nogueira,3265.33,CARGO EM COMISSÃO
1187,Escritório de Apoio 1 do Senador Angelo Coronel,3265.33,CARGO EM COMISSÃO
1189,Escritório de Apoio nº 02 do Senador Acir Gurgacz,3265.33,CARGO EM COMISSÃO
1190,Gabinete do Senador Acir Gurgacz,3265.33,CARGO EM COMISSÃO
1191,Escritório de Apoio nº 2 do Senador Eduardo Gomes,3322.21,CARGO EM COMISSÃO
1192,Escritório de Apoio 1 do Senador Alessandro Vieira,3220.02,CARGO EM COMISSÃO
1193,Escritório de Apoio 1 do Senador Cid Gomes,3265.33,CARGO EM COMISSÃO
1194,Gabinete do Senador Romário,3265.33,CARGO EM COMISSÃO
1195,Gabinete do Senador Lucas Barreto,3265.33,CARGO EM COMISSÃO
1196,Gabinete do Senador Veneziano Vital do Rêgo,2664.24,CARGO EM COMISSÃO
1197,Escritório de Apoio 1 do Senador Jaques Wagner,3265.33,CARGO EM COMISSÃO
1198,Escritório de Apoio 1 do Senador Chico Rodrigues,3265.33,CARGO EM COMISSÃO
1199,Gabinete do Senador Carlos Fávaro,3265.33,CARGO EM COMISSÃO
1200,Escritório de Apoio Senadora Maria do Carmo Alves,3293.77,CARGO EM COMISSÃO
1201,Escritório de Apoio nº 1 do Senador Eduardo Gomes,3265.33,CARGO EM COMISSÃO
1202,Gabinete do Senador Carlos Fávaro,3265.33,CARGO EM COMISSÃO
1203,Escritório de Apoio 1 do Senador Carlos Fávaro,3265.33,CARGO EM COMISSÃO
1204,Escritório de Apoio do Senador Ciro Nogueira,3265.33,CARGO EM COMISSÃO
1206,Escritório de Apoio nº 1 do Senador Eduardo Gomes,3265.33,CARGO EM COMISSÃO
1207,Escritório de Apoio 1 do Senador Marcelo de Castro,3265.33,CARGO EM COMISSÃO
1208,Escritório de Apoio do Senador Ciro Nogueira,3496.26,CARGO EM COMISSÃO
1209,Escritório de Apoio 1 da Senadora Eliziane Gama,3265.33,CARGO EM COMISSÃO
1210,Escritório de Apoio nº 2 do Senador Eduardo Gomes,3293.77,CARGO EM COMISSÃO
1211,Escritório de Apoio do Senador Fernando Collor,3265.33,CARGO EM COMISSÃO
1213,Gabinete da Senadora Leila Barros,3293.77,CARGO EM COMISSÃO
1214,Escritório de Apoio da Senadora Kátia Abreu,3322.21,CARGO EM COMISSÃO
1215,Escritório de Apoio 1 do Senador Carlos Viana,3265.33,CARGO EM COMISSÃO
1217,Gabinete do Senador Roberto Rocha,3265.33,CARGO EM COMISSÃO
1218,Escritório de Apoio da Senadora Kátia Abreu,3265.33,CARGO EM COMISSÃO
1219,Escritório de Apoio da Senadora Kátia Abreu,3265.33,CARGO EM COMISSÃO
1220,Escritório de Apoio da Senadora Kátia Abreu,3265.33,CARGO EM COMISSÃO
1221,Escritório de Apoio da Senadora Kátia Abreu,3265.33,CARGO EM COMISSÃO
1222,Escritório de Apoio nº1 do Senador Carlos Portinho,3265.33,CARGO EM COMISSÃO
1223,Escritório de Apoio 1 do Senador Plínio Valério,3265.33,CARGO EM COMISSÃO
1224,Escritório de Apoio da Senadora Kátia Abreu,3265.33,CARGO EM COMISSÃO
1225,Escritório de Apoio da Senadora Kátia Abreu,3265.33,CARGO EM COMISSÃO
1226,Escritório de Apoio 1 do Senador Eduardo Girão,3265.33,CARGO EM COMISSÃO
1227,Escritório de Apoio 1 do Senador Vanderlan Cardoso,3265.33,CARGO EM COMISSÃO
1228,Escritório de Apoio da Senadora Kátia Abreu,3265.33,CARGO EM COMISSÃO
1229,Escritório de Apoio 1 do Senador Vanderlan Cardoso,2061.8,CARGO EM COMISSÃO
1230,Escritório de Apoio 1 do Senador Vanderlan Cardoso,385.17,CARGO EM COMISSÃO
1231,Escritório de Apoio 1 do Senador Angelo Coronel,2319.39,CARGO EM COMISSÃO
1232,Escritório Apoio 1 do Senador Randolfe Rodrigues,1581.74,CARGO EM COMISSÃO
1233,Escritório de Apoio nº1 do Senador Carlos Portinho,1805.35,CARGO EM COMISSÃO
1234,Escritório de Apoio nº 1 da Senadora Nilda Gondim,1469.94,CARGO EM COMISSÃO
1235,Gabinete da Senadora Kátia Abreu,795.52,CARGO EM COMISSÃO
1236,Gabinete da Senadora Kátia Abreu,795.52,CARGO EM COMISSÃO
1239,Escritório de Apoio do Senador Alvaro Dias,3792.05,CARGO EM COMISSÃO
1241,Gabinete do Senador Paulo Paim,4004.23,CARGO EM COMISSÃO
1242,Escritório de Apoio do Senador Paulo Paim,3749.4,CARGO EM COMISSÃO
1245,Gabinete do Senador Izalci Lucas,2641.59,CARGO EM COMISSÃO
1246,Gabinete do Senador Jorge Kajuru,3854.67,CARGO EM COMISSÃO
1247,Gabinete do Senador Confúcio Moura,1997.13,CARGO EM COMISSÃO
1249,Escritório de Apoio do Senador Flávio Arns,3749.4,CARGO EM COMISSÃO
1251,Escritório de Apoio do Senador Renan Calheiros,3749.4,CARGO EM COMISSÃO
1252,Escritório de Apoio nº 1 do Senador Eduardo Gomes,3749.4,CARGO EM COMISSÃO
1254,Escritório de Apoio do Senador Alvaro Dias,3749.4,CARGO EM COMISSÃO
1258,Escritório de Apoio do Senador Fernando Collor,3749.4,CARGO EM COMISSÃO
1259,Escritório de Apoio do Senador Fernando Collor,3854.67,CARGO EM COMISSÃO
1262,Gabinete do Senador Fernando Collor,3749.4,CARGO EM COMISSÃO
1263,Gabinete do Senador Elmano Férrer,4138.34,CARGO EM COMISSÃO
1264,Escritório de Apoio do Senador Fernando Collor,3792.05,CARGO EM COMISSÃO
1266,Gabinete da Senadora Daniella Ribeiro,3614.09,CARGO EM COMISSÃO
1267,Gabinete da Senadora Maria do Carmo Alves,3749.4,CARGO EM COMISSÃO
1269,Gabinete do Senador Eduardo Gomes,3373.52,CARGO EM COMISSÃO
1270,Gabinete do Senador Eduardo Gomes,0.0,CARGO EM COMISSÃO
1273,Gabinete do Senador Acir Gurgacz,4512.6,CARGO EM COMISSÃO
1274,Gabinete do Senador Acir Gurgacz,3749.4,CARGO EM COMISSÃO
1275,Escritório de Apoio do Senador Acir Gurgacz,3749.4,CARGO EM COMISSÃO
1276,Gabinete do Senador Renan Calheiros,3792.05,CARGO EM COMISSÃO
1277,Escritório de Apoio do Senador Acir Gurgacz,3792.05,CARGO EM COMISSÃO
1278,Gabinete do Senador Elmano Férrer,3749.4,CARGO EM COMISSÃO
1279,Gabinete do Senador Fernando Collor,3893.71,CARGO EM COMISSÃO
1280,Escritório de Apoio do Senador Humberto Costa,2109.04,CARGO EM COMISSÃO
1281,Gabinete do Senador Angelo Coronel,3749.4,CARGO EM COMISSÃO
1282,Escritório Apoio 1 do Senador Randolfe Rodrigues,3792.05,CARGO EM COMISSÃO
1283,Escritório de Apoio do Senador Ciro Nogueira,3749.4,CARGO EM COMISSÃO
1285,Escritório de Apoio nº 1 do Senador Irajá,3749.4,CARGO EM COMISSÃO
1286,Gabinete do Senador Ciro Nogueira,3792.05,CARGO EM COMISSÃO
1288,Escritório Apoio 1 do Senador Randolfe Rodrigues,2641.59,CARGO EM COMISSÃO
1289,Gabinete do Senador Humberto Costa,3749.4,CARGO EM COMISSÃO
1290,Gabinete do Senador Nelsinho Trad,3792.05,CARGO EM COMISSÃO
1291,Escritório de Apoio do Senador Fernando Collor,3749.4,CARGO EM COMISSÃO
1294,Gabinete do Senador Flávio Bolsonaro,3918.26,CARGO EM COMISSÃO
1296,Gabinete do Senador Eduardo Braga,3792.05,CARGO EM COMISSÃO
1297,Gabinete do Senador Elmano Férrer,3854.67,CARGO EM COMISSÃO
1300,Escritório de Apoio 1 do Senador Elmano Férrer,3792.05,CARGO EM COMISSÃO
1303,Gabinete do Senador Sérgio Petecão,4958.9,CARGO EM COMISSÃO
1304,Gabinete do Senador Sérgio Petecão,990.88,CARGO EM COMISSÃO
1306,Gabinete do Senador Eduardo Braga,3749.4,CARGO EM COMISSÃO
1308,Escritório de Apoio do Senador Ciro Nogueira,3749.4,CARGO EM COMISSÃO
1309,Gabinete do Senador Marcos do Val,3792.05,CARGO EM COMISSÃO
1311,Gabinete do Senador Alvaro Dias,3826.24,CARGO EM COMISSÃO
1312,Escritório de Apoio do Senador Humberto Costa,1997.13,CARGO EM COMISSÃO
1313,Gabinete do Senador Fernando Collor,3893.71,CARGO EM COMISSÃO
1320,Escritório de Apoio 1 do Senador Telmário Mota,3826.24,CARGO EM COMISSÃO
1321,Escritório de Apoio nº 01 da Senadora Simone Tebet,3792.05,CARGO EM COMISSÃO
1322,Gabinete do Senador Tasso Jereissati,3792.05,CARGO EM COMISSÃO
1323,Escritório de Apoio 1 da Senadora Rose de Freitas,3749.4,CARGO EM COMISSÃO
1324,Escritório de Apoio 1 do Senador Telmário Mota,3749.4,CARGO EM COMISSÃO
1325,Escritório de Apoio do Senador Humberto Costa,3749.4,CARGO EM COMISSÃO
1326,Gabinete do Senador Eduardo Braga,3749.4,CARGO EM COMISSÃO
1327,Escritório de Apoio 1 do Senador Elmano Férrer,3826.24,CARGO EM COMISSÃO
1328,Gabinete do Senador Wellington Fagundes,3749.4,CARGO EM COMISSÃO
1329,Gabinete do Senador Mecias de Jesus,3749.4,CARGO EM COMISSÃO
1330,Gabinete do Senador Eduardo Braga,3792.05,CARGO EM COMISSÃO
1331,Escritório de Apoio do Senador Humberto Costa,3826.24,CARGO EM COMISSÃO
1332,Escritório de Apoio do Senador Acir Gurgacz,3749.4,CARGO EM COMISSÃO
1334,Gabinete da Senadora Rose de Freitas,4001.11,CARGO EM COMISSÃO
1335,Escritório de Apoio do Senador Humberto Costa,3854.67,CARGO EM COMISSÃO
1337,Escritório de Apoio 1 do Senador Jean Paul Prates,2641.59,CARGO EM COMISSÃO
1338,Escritório de Apoio 1 do Senador Antônio Anastasia,3749.4,CARGO EM COMISSÃO
1339,Gabinete do Senador Rogério Carvalho,3749.4,CARGO EM COMISSÃO
1341,Escritório de Apoio 1 do Senador José Serra,805.32,CARGO EM COMISSÃO
1342,Gabinete do Senador Chico Rodrigues,3792.05,CARGO EM COMISSÃO
1343,Gabinete do Senador Fabiano Contarato,3792.05,CARGO EM COMISSÃO
1344,Escritório de Apoio 1 da Senadora Rose de Freitas,3792.05,CARGO EM COMISSÃO
1345,Escritório de Apoio 1 do Senador Elmano Férrer,3792.05,CARGO EM COMISSÃO
1346,Escritório de Apoio 1 do Senador Telmário Mota,3749.4,CARGO EM COMISSÃO
1349,Escritório de Apoio 1 do Senador Dário Berger,3749.4,CARGO EM COMISSÃO
1350,Escritório de Apoio 1 da Senadora Rose de Freitas,3792.05,CARGO EM COMISSÃO
1351,Escritório de Apoio 1 do Senador Elmano Férrer,3749.4,CARGO EM COMISSÃO
1352,Gabinete do Senador Luiz Carlos do Carmo,3826.24,CARGO EM COMISSÃO
1353,Gabinete do Senador Marcelo Castro,3826.24,CARGO EM COMISSÃO
1354,Gabinete do Senador Fernando Collor,3792.05,CARGO EM COMISSÃO
1356,Gabinete do Senador Izalci Lucas,3792.05,CARGO EM COMISSÃO
1361,Escritório de Apoio 1 do Senador Jean Paul Prates,3792.05,CARGO EM COMISSÃO
1362,Gabinete do Senador Luiz Carlos do Carmo,3826.24,CARGO EM COMISSÃO
1363,Escritório de Apoio do Senador Sérgio Petecão,3749.4,CARGO EM COMISSÃO
1365,Escritório de Apoio do Senador Renan Calheiros,3749.4,CARGO EM COMISSÃO
1370,Escritório de Apoio 1 do Senador Telmário Mota,3749.4,CARGO EM COMISSÃO
1372,Escritório de Apoio Senadora Maria do Carmo Alves,3749.4,CARGO EM COMISSÃO
1373,Escritório Apoio 1 do Senador Randolfe Rodrigues,3749.4,CARGO EM COMISSÃO
1374,Gabinete do Senador Roberto Rocha,3749.4,CARGO EM COMISSÃO
1377,Escritório de Apoio 1 do Senador Telmário Mota,3749.4,CARGO EM COMISSÃO
1378,Escritório de Apoio do Senador Sérgio Petecão,3749.4,CARGO EM COMISSÃO
1382,Escritório de Apoio 1 do Senador Telmário Mota,3749.4,CARGO EM COMISSÃO
1383,Gabinete do Senador Otto Alencar,3826.24,CARGO EM COMISSÃO
1384,Escritório de Apoio 1 do Senador Roberto Rocha,3749.4,CARGO EM COMISSÃO
1385,Gabinete do Senador Jayme Campos,3792.05,CARGO EM COMISSÃO
1386,Gabinete do Senador Roberto Rocha,3749.4,CARGO EM COMISSÃO
1387,Gabinete do Senador Dário Berger,3749.4,CARGO EM COMISSÃO
1388,Escritório de Apoio do Senador Renan Calheiros,3749.4,CARGO EM COMISSÃO
1389,Escritório Apoio 1 do Senador Randolfe Rodrigues,3749.4,CARGO EM COMISSÃO
1392,Escritório de Apoio do Senador Paulo Paim,3749.4,CARGO EM COMISSÃO
1393,Gabinete do Senador Jorge Kajuru,3749.4,CARGO EM COMISSÃO
1395,Escritório de Apoio do Senador Eduardo Braga,3881.84,CARGO EM COMISSÃO
1399,Escritório de Apoio 1 do Senador Omar Aziz,3749.4,CARGO EM COMISSÃO
1400,Gabinete do Senador Izalci Lucas,3749.4,CARGO EM COMISSÃO
1401,Gabinete do Senador Jáder Barbalho,3749.4,CARGO EM COMISSÃO
1402,Escritório de Apoio do Senador Fernando Collor,3749.4,CARGO EM COMISSÃO
1404,Escritório de Apoio 1 do Senador Omar Aziz,3749.4,CARGO EM COMISSÃO
1405,Escritório de Apoio do Senador Ciro Nogueira,3749.4,CARGO EM COMISSÃO
1409,Escritório de Apoio 1 do Senador Jean Paul Prates,3652.69,CARGO EM COMISSÃO
1410,Gabinete do Senador Mecias de Jesus,3749.4,CARGO EM COMISSÃO
1411,Escritório de Apoio 1 do Senador Marcos do Val,3749.4,CARGO EM COMISSÃO
1412,Escritório de Apoio 1 da Senadora Mara Gabrilli,3792.05,CARGO EM COMISSÃO
1413,Gabinete do Senador Marcos Rogério,3749.4,CARGO EM COMISSÃO
1414,Escritório de Apoio 1 do Senador Plínio Valério,3749.4,CARGO EM COMISSÃO
1415,Escritório de Apoio 1 do Senador Jaques Wagner,3792.05,CARGO EM COMISSÃO
1416,Escritório de Apoio 1 da Senadora Zenaide Maia,3792.05,CARGO EM COMISSÃO
1417,Escritório de Apoio 1 do Senador Jean Paul Prates,3749.4,CARGO EM COMISSÃO
1418,Escritório de Apoio 1 do Senador Jean Paul Prates,3749.4,CARGO EM COMISSÃO
1419,Escritório de Apoio 1 do Senador Chico Rodrigues,3749.4,CARGO EM COMISSÃO
1420,Escritório de Apoio 1 do Senador Rogério Carvalho,3749.4,CARGO EM COMISSÃO
1421,Gabinete da Senadora Leila Barros,3749.4,CARGO EM COMISSÃO
1422,Gabinete do Senador Major Olimpio,3749.4,CARGO EM COMISSÃO
1423,Escritório de Apoio nº 1 do Senador Irajá,3792.05,CARGO EM COMISSÃO
1424,Escritório de Apoio 1 Senador Luis Carlos Heinze,3749.4,CARGO EM COMISSÃO
1425,Gabinete do Senador Luiz Carlos do Carmo,3826.24,CARGO EM COMISSÃO
1426,Gabinete do Senador Carlos Viana,3749.4,CARGO EM COMISSÃO
1427,Escritório de Apoio 1 do Senador Rogério Carvalho,3749.4,CARGO EM COMISSÃO
1428,Escritório de Apoio 1 da Senadora Eliziane Gama,3792.05,CARGO EM COMISSÃO
1429,Escritório de Apoio 1 do Senador Carlos Viana,3749.4,CARGO EM COMISSÃO
1430,Escritório de Apoio 1 do Senador Zequinha Marinho,3749.4,CARGO EM COMISSÃO
1431,Gabinete do Senador Jarbas Vasconcelos,3749.4,CARGO EM COMISSÃO
1432,Escritório Apoio 1 do Senador Randolfe Rodrigues,3749.4,CARGO EM COMISSÃO
1433,Escritório de Apoio 1 do Senador Fabiano Contarato,3749.4,CARGO EM COMISSÃO
1434,Escritório de Apoio 1 do Senador Marcos do Val,3749.4,CARGO EM COMISSÃO
1435,Escritório de Apoio 1 do Senador Esperidião Amin,3749.4,CARGO EM COMISSÃO
1436,Escritório de Apoio 1 da Senadora Zenaide Maia,3749.4,CARGO EM COMISSÃO
1437,Gabinete do Senador Eduardo Gomes,3345.07,CARGO EM COMISSÃO
1438,Gabinete do Senador Eduardo Gomes,0.0,CARGO EM COMISSÃO
1439,Escritório de Apoio 1 do Senador Lucas Barreto,3749.4,CARGO EM COMISSÃO
1440,Escritório de Apoio 1 do Senador Esperidião Amin,3749.4,CARGO EM COMISSÃO
1441,Gabinete do Senador Veneziano Vital do Rêgo,3749.4,CARGO EM COMISSÃO
1442,Escritório de Apoio nº 1 da Senadora Mailza Gomes,3749.4,CARGO EM COMISSÃO
1443,Gabinete do Senador Izalci Lucas,3749.4,CARGO EM COMISSÃO
1444,Gabinete do Senador Weverton Rocha,3826.24,CARGO EM COMISSÃO
1445,Escritório de Apoio 1 do Senador Plínio Valério,3749.4,CARGO EM COMISSÃO
1446,Escritório de Apoio 1 do Senador Carlos Viana,3749.4,CARGO EM COMISSÃO
1447,Escritório de Apoio 1 da Senadora Eliziane Gama,3749.4,CARGO EM COMISSÃO
1448,Gabinete da Senadora Daniella Ribeiro,3585.64,CARGO EM COMISSÃO
1450,Gabinete do Senador Confúcio Moura,3749.4,CARGO EM COMISSÃO
1452,Escritório de Apoio 1 do Senador Nelsinho Trad,3749.4,CARGO EM COMISSÃO
1454,Escritório de Apoio 1 do Senador Mecias de Jesus,3749.4,CARGO EM COMISSÃO
1455,Gabinete do Senador Rogério Carvalho,3749.4,CARGO EM COMISSÃO
1456,Escritório de Apoio 1 da Senadora Daniella Ribeiro,3749.4,CARGO EM COMISSÃO
1457,Escritório de Apoio nº 1 do Senador Eduardo Gomes,3586.71,CARGO EM COMISSÃO
1458,Escritório de Apoio 1 da Senadora Zenaide Maia,3749.4,CARGO EM COMISSÃO
1459,Escritório de Apoio 1 do Senador Lucas Barreto,3749.4,CARGO EM COMISSÃO
1460,Escritório de Apoio 1 do Senador Lucas Barreto,3749.4,CARGO EM COMISSÃO
1462,Gabinete do Senador Esperidião Amin,3749.4,CARGO EM COMISSÃO
1463,Escritório de Apoio 1 do Senador Jaques Wagner,3749.4,CARGO EM COMISSÃO
1464,Escritório de Apoio 1 do Senador Rogério Carvalho,3749.4,CARGO EM COMISSÃO
1465,Escritório de Apoio 1 do Senador Lucas Barreto,3749.4,CARGO EM COMISSÃO
1466,Escritório de Apoio 1 do Senador Lucas Barreto,3749.4,CARGO EM COMISSÃO
1467,Escritório de Apoio 1 do Senador Vanderlan Cardoso,3749.4,CARGO EM COMISSÃO
1468,Escritório de Apoio 1 da Senadora Zenaide Maia,3749.4,CARGO EM COMISSÃO
1469,Escritório de Apoio 1 do Senador Lucas Barreto,3749.4,CARGO EM COMISSÃO
1470,Gabinete do Senador Randolfe Rodrigues,3792.05,CARGO EM COMISSÃO
1472,Gabinete do Senador Lucas Barreto,3854.67,CARGO EM COMISSÃO
1473,Gabinete da Senadora Mara Gabrilli,3661.01,CARGO EM COMISSÃO
1474,Gabinete do Senador Lucas Barreto,3826.24,CARGO EM COMISSÃO
1475,Gabinete da Senadora Daniella Ribeiro,3555.97,CARGO EM COMISSÃO
1476,Escritório de Apoio 1 do Senador Lucas Barreto,3749.4,CARGO EM COMISSÃO
1477,Escritório de Apoio 1 do Senador Lucas Barreto,3749.4,CARGO EM COMISSÃO
1478,Gabinete do Senador Izalci Lucas,3749.4,CARGO EM COMISSÃO
1479,Gabinete do Senador Izalci Lucas,3749.4,CARGO EM COMISSÃO
1480,Gabinete do Senador Izalci Lucas,3749.4,CARGO EM COMISSÃO
1481,Escritório de Apoio nº 1 do Senador Eduardo Gomes,3749.4,CARGO EM COMISSÃO
1482,Gabinete do Senador Marcelo Castro,3749.4,CARGO EM COMISSÃO
